arm,scope,name,published_f1,repaired_f1,delta,n_positive
bev_pic,tag,at_intersection,0.4413,0.4514,0.0101,216
bev_pic,tag,barrier,0.5689,0.6136,0.0447,121
bev_pic,tag,construction_object,0.5485,0.5202,-0.0282,203
bev_pic,tag,cut_in,0.0,0.0,0.0,109
bev_pic,tag,cyclist,0.0,0.0,0.0,109
bev_pic,tag,has_pedestrian,0.0105,0.0,-0.0105,378
bev_pic,tag,has_vehicle,0.9637,0.9637,0.0,584
bev_pic,tag,intersection_ahead,0.5608,0.59,0.0292,541
bev_pic,tag,is_accelerating,0.0,0.0,0.0,119
bev_pic,tag,is_cruising,0.3677,0.4167,0.049,236
bev_pic,tag,is_decelerating,0.0,0.0,0.0,119
bev_pic,tag,is_going_straight,0.38,0.4298,0.0498,456
bev_pic,tag,is_stationary,0.0,0.0,0.0,154
bev_pic,tag,is_turn_left,0.175,0.1577,-0.0173,76
bev_pic,tag,is_turn_right,0.1995,0.1658,-0.0337,60
bev_pic,tag,is_u_turn,0.0,0.0,0.0,36
bev_pic,tag,lane_change,0.2975,0.2829,-0.0146,96
bev_pic,tag,large_vehicle,0.3985,0.334,-0.0645,406
bev_pic,tag,lead_braking,0.0526,0.0179,-0.0348,108
bev_pic,tag,lead_vehicle,0.6069,0.5441,-0.0627,314
bev_pic,tag,moving_vehicle,0.8288,0.8304,0.0016,443
bev_pic,tag,on_drivable_area,1.0,1.0,0.0,628
bev_pic,tag,on_lane,0.7923,0.7923,0.0,412
bev_pic,tag,on_ped_crossing,0.0,0.0,0.0,118
bev_pic,tag,on_stop_line,0.0,0.0,0.0,166
bev_pic,tag,parked_bicycle,0.0,0.0,0.0,68
bev_pic,tag,parked_vehicle,0.0055,0.0055,0.0,362
bev_pic,tag,ped_crossing_ahead,0.0,0.0,0.0,339
bev_pic,tag,pedestrian_crossing_path,0.0,0.0,0.0,98
bev_pic,tag,pedestrian_near,0.0132,0.0,-0.0132,150
bev_pic,tag,stop_line_ahead,0.0,0.0,0.0,471
bev_pic,tag,stopped_vehicle,0.0,0.0,0.0,257
bev_pic,tag,traffic_cone,0.4056,0.3813,-0.0243,135
bev_pic,tag,traffic_light_ahead,0.0,0.0,0.0,144
bev_pic,tag,vehicle_near,0.6213,0.6213,0.0,283
bev_txt,tag,at_intersection,0.0,0.0,0.0,216
bev_txt,tag,barrier,0.9191,0.8657,-0.0535,121
bev_txt,tag,construction_object,0.0195,0.0478,0.0283,203
bev_txt,tag,cut_in,0.0,0.0,0.0,109
bev_txt,tag,cyclist,0.2256,0.2897,0.0641,109
bev_txt,tag,has_pedestrian,0.9275,0.8954,-0.0321,378
bev_txt,tag,has_vehicle,0.9845,0.9864,0.0019,584
bev_txt,tag,intersection_ahead,0.0,0.0,0.0,541
bev_txt,tag,is_accelerating,0.0301,0.0597,0.0296,119
bev_txt,tag,is_cruising,0.0166,0.0163,-0.0003,236
bev_txt,tag,is_decelerating,0.0,0.0,0.0,119
bev_txt,tag,is_going_straight,0.0,0.0429,0.0429,456
bev_txt,tag,is_stationary,0.0,0.0,0.0,154
bev_txt,tag,is_turn_left,0.0,0.0,0.0,76
bev_txt,tag,is_turn_right,0.0,0.0,0.0,60
bev_txt,tag,is_u_turn,0.0,0.0,0.0,36
bev_txt,tag,lane_change,0.0,0.0,0.0,96
bev_txt,tag,large_vehicle,0.1863,0.0711,-0.1152,406
bev_txt,tag,lead_braking,0.0,0.0,0.0,108
bev_txt,tag,lead_vehicle,0.0249,0.0252,0.0002,314
bev_txt,tag,moving_vehicle,0.8682,0.8481,-0.0201,443
bev_txt,tag,on_drivable_area,1.0,1.0,0.0,628
bev_txt,tag,on_lane,0.7923,0.7923,0.0,412
bev_txt,tag,on_ped_crossing,0.0,0.8631,0.8631,118
bev_txt,tag,on_stop_line,0.0442,0.6832,0.639,166
bev_txt,tag,parked_bicycle,0.0,0.0,0.0,68
bev_txt,tag,parked_vehicle,0.043,0.0,-0.043,362
bev_txt,tag,ped_crossing_ahead,0.0,0.3953,0.3953,339
bev_txt,tag,pedestrian_crossing_path,0.0,0.0,0.0,98
bev_txt,tag,pedestrian_near,0.6835,0.5893,-0.0942,150
bev_txt,tag,stop_line_ahead,0.0617,0.7491,0.6873,471
bev_txt,tag,stopped_vehicle,0.0221,0.0,-0.0221,257
bev_txt,tag,traffic_cone,0.8122,0.8245,0.0123,135
bev_txt,tag,traffic_light_ahead,0.0,0.6852,0.6852,144
bev_txt,tag,vehicle_near,0.6374,0.6481,0.0107,283
