,qwen2_5_vl_7b,qwen3_vl_8b,support,family,baseline_f1,n_unanswered_alt,delta
is_going_straight,0.819,0.82,100,ego_maneuver,0.8,0,0.001
is_turn_left,0.0,0.0,6,ego_maneuver,0.0,23,0.0
is_turn_right,0.187,0.0,20,ego_maneuver,0.0,23,-0.187
is_u_turn,0.0,0.0,24,ego_maneuver,0.0,23,0.0
is_cruising,0.553,0.534,55,ego_maneuver,0.0,0,-0.019
is_stationary,0.0,0.32,31,ego_maneuver,0.0,9,0.32
is_accelerating,0.0,0.0,25,ego_maneuver,0.0,14,0.0
is_decelerating,0.0,0.0,39,ego_maneuver,0.0,2,0.0
lane_change,0.0,0.0,30,ego_maneuver,0.0,15,0.0
on_drivable_area,1.0,1.0,150,map_context,1.0,0,0.0
at_intersection,0.411,0.444,66,map_context,0.0,16,0.033
on_lane,0.735,0.728,84,map_context,0.718,0,-0.007
on_ped_crossing,0.0,0.0,36,map_context,0.0,12,0.0
on_stop_line,0.0,0.412,23,map_context,0.0,9,0.412
ped_crossing_ahead,0.124,0.418,91,map_context,0.755,10,0.294
stop_line_ahead,0.0,0.276,113,map_context,0.859,10,0.276
intersection_ahead,0.456,0.529,139,map_context,0.962,0,0.073
traffic_light_ahead,0.734,0.632,33,map_context,0.0,1,-0.102
has_pedestrian,0.671,0.902,101,visible_objects,0.805,7,0.231
has_vehicle,0.988,0.969,128,visible_objects,0.921,0,-0.019
parked_vehicle,0.592,0.548,100,visible_objects,0.8,15,-0.044
moving_vehicle,0.87,0.859,89,visible_objects,0.745,3,-0.011
stopped_vehicle,0.245,0.608,56,visible_objects,0.0,5,0.363
large_vehicle,0.591,0.704,92,visible_objects,0.76,4,0.113
cyclist,0.19,0.435,19,visible_objects,0.0,11,0.245
parked_bicycle,0.276,0.452,25,visible_objects,0.0,13,0.176
construction_object,0.426,0.629,47,visible_objects,0.0,7,0.203
traffic_cone,0.622,0.677,28,visible_objects,0.0,7,0.055
barrier,0.5,0.65,23,visible_objects,0.0,7,0.15
pedestrian_near,0.758,0.677,44,visible_objects,0.0,4,-0.081
vehicle_near,0.76,0.758,78,visible_objects,0.684,3,-0.002
lead_vehicle,0.712,0.688,87,interaction,0.734,0,-0.024
lead_braking,0.0,0.143,25,interaction,0.0,0,0.143
cut_in,0.0,0.0,25,interaction,0.0,6,0.0
pedestrian_crossing_path,0.0,0.655,35,interaction,0.0,6,0.655
