,qwen2_5_vl_7b,qwen3_vl_8b,support,family,baseline_f1,n_unanswered_alt,delta
is_going_straight,0.424,0.718,100,ego_maneuver,0.8,0,0.294
is_turn_left,0.048,0.061,6,ego_maneuver,0.0,0,0.013
is_turn_right,0.196,0.16,20,ego_maneuver,0.0,0,-0.036
is_u_turn,0.0,0.0,24,ego_maneuver,0.0,0,0.0
is_cruising,0.276,0.0,55,ego_maneuver,0.0,0,-0.276
is_stationary,0.0,0.34,31,ego_maneuver,0.0,0,0.34
is_accelerating,0.0,0.0,25,ego_maneuver,0.0,0,0.0
is_decelerating,0.0,0.278,39,ego_maneuver,0.0,0,0.278
lane_change,0.411,0.0,30,ego_maneuver,0.0,0,-0.411
on_drivable_area,1.0,1.0,150,map_context,1.0,0,0.0
at_intersection,0.523,0.604,66,map_context,0.0,0,0.081
on_lane,0.718,0.747,84,map_context,0.718,0,0.029
on_ped_crossing,0.0,0.0,36,map_context,0.0,0,0.0
on_stop_line,0.0,0.0,23,map_context,0.0,0,0.0
ped_crossing_ahead,0.0,0.194,91,map_context,0.755,0,0.194
stop_line_ahead,0.0,0.035,113,map_context,0.859,0,0.035
intersection_ahead,0.518,0.863,139,map_context,0.962,0,0.345
traffic_light_ahead,0.0,0.469,33,map_context,0.0,0,0.469
has_pedestrian,0.0,0.586,101,visible_objects,0.805,0,0.586
has_vehicle,0.921,0.921,128,visible_objects,0.921,0,0.0
parked_vehicle,0.0,0.0,100,visible_objects,0.8,0,0.0
moving_vehicle,0.745,0.741,89,visible_objects,0.745,0,-0.004
stopped_vehicle,0.0,0.634,56,visible_objects,0.0,0,0.634
large_vehicle,0.39,0.798,92,visible_objects,0.76,0,0.408
cyclist,0.0,0.286,19,visible_objects,0.0,0,0.286
parked_bicycle,0.0,0.0,25,visible_objects,0.0,0,0.0
construction_object,0.477,0.554,47,visible_objects,0.0,0,0.077
traffic_cone,0.174,0.349,28,visible_objects,0.0,0,0.175
barrier,0.5,0.44,23,visible_objects,0.0,0,-0.06
pedestrian_near,0.0,0.42,44,visible_objects,0.0,0,0.42
vehicle_near,0.684,0.684,78,visible_objects,0.684,0,0.0
lead_vehicle,0.472,0.734,87,interaction,0.734,0,0.262
lead_braking,0.0,0.264,25,interaction,0.0,0,0.264
cut_in,0.0,0.0,25,interaction,0.0,0,0.0
pedestrian_crossing_path,0.0,0.0,35,interaction,0.0,0,0.0
