tag,camera,cot,bev_pic,bev_txt,both,temporal,family,support,baseline_f1
is_going_straight,0.776,0.743,0.38,0.0,0.834,0.841,ego_maneuver,456,0.841
is_turn_left,0.21,0.0,0.175,0.0,0.167,0.0,ego_maneuver,76,0.0
is_turn_right,0.142,0.0,0.2,0.0,0.029,0.0,ego_maneuver,60,0.0
is_u_turn,0.0,0.0,0.0,0.0,0.0,0.0,ego_maneuver,36,0.0
is_cruising,0.529,0.575,0.368,0.017,0.537,0.546,ego_maneuver,236,0.0
is_stationary,0.026,0.477,0.0,0.0,0.0,0.0,ego_maneuver,154,0.0
is_accelerating,0.0,0.0,0.0,0.03,0.0,0.0,ego_maneuver,119,0.0
is_decelerating,0.0,0.0,0.0,0.0,0.0,0.0,ego_maneuver,119,0.0
lane_change,0.0,0.0,0.297,0.0,0.019,0.0,ego_maneuver,96,0.0
on_drivable_area,1.0,0.998,1.0,1.0,1.0,1.0,map_context,628,1.0
at_intersection,0.347,0.177,0.441,0.0,0.354,0.371,map_context,216,0.0
on_lane,0.794,0.788,0.792,0.792,0.792,0.792,map_context,412,0.792
on_ped_crossing,0.0,0.065,0.0,0.0,0.0,0.0,map_context,118,0.0
on_stop_line,0.012,0.325,0.0,0.044,0.0,0.0,map_context,166,0.0
ped_crossing_ahead,0.04,0.463,0.0,0.0,0.006,0.04,map_context,339,0.701
stop_line_ahead,0.013,0.301,0.0,0.062,0.0,0.0,map_context,471,0.857
intersection_ahead,0.534,0.368,0.561,0.0,0.518,0.451,map_context,541,0.926
traffic_light_ahead,0.672,0.688,0.0,0.0,0.729,0.656,map_context,144,0.0
has_pedestrian,0.597,0.725,0.011,0.928,0.6,0.608,visible_objects,378,0.751
has_vehicle,0.969,0.953,0.964,0.984,0.968,0.97,visible_objects,584,0.964
parked_vehicle,0.61,0.655,0.006,0.043,0.516,0.522,visible_objects,362,0.731
moving_vehicle,0.885,0.882,0.829,0.868,0.867,0.899,visible_objects,443,0.827
stopped_vehicle,0.252,0.516,0.0,0.022,0.19,0.205,visible_objects,257,0.0
large_vehicle,0.62,0.659,0.398,0.186,0.554,0.592,visible_objects,406,0.785
cyclist,0.361,0.449,0.0,0.226,0.37,0.323,visible_objects,109,0.0
parked_bicycle,0.208,0.357,0.0,0.0,0.056,0.083,visible_objects,68,0.0
construction_object,0.654,0.761,0.548,0.02,0.742,0.618,visible_objects,203,0.0
traffic_cone,0.745,0.685,0.406,0.812,0.763,0.633,visible_objects,135,0.0
barrier,0.735,0.735,0.569,0.919,0.717,0.72,visible_objects,121,0.0
pedestrian_near,0.748,0.702,0.013,0.683,0.75,0.71,visible_objects,150,0.0
vehicle_near,0.675,0.694,0.621,0.637,0.661,0.662,visible_objects,283,0.0
lead_vehicle,0.711,0.645,0.607,0.025,0.713,0.708,interaction,314,0.667
lead_braking,0.047,0.127,0.053,0.0,0.034,0.0,interaction,108,0.0
cut_in,0.0,0.0,0.0,0.0,0.0,0.0,interaction,109,0.0
pedestrian_crossing_path,0.0,0.422,0.0,0.0,0.0,0.059,interaction,98,0.0
