condition,tag,family,support,n_answered,tp,fp,fn,tn,precision,precision_lo,precision_hi,precision_lo_clust,precision_hi_clust,recall,recall_lo,recall_hi,recall_lo_clust,recall_hi_clust,f1,f1_lo_clust,f1_hi_clust,boot_degenerate,baseline_f1,accuracy,baseline_accuracy
camera,is_going_straight,ego_maneuver,456,628,357,107,99,65,0.7694,0.729,0.8054,0.6993,0.8323,0.7829,0.7428,0.8183,0.7067,0.852,0.7761,0.7185,0.8264,False,0.8413,0.672,0.7261
camera,is_turn_left,ego_maneuver,76,628,17,69,59,483,0.1977,0.1272,0.294,0.069,0.3564,0.2237,0.1446,0.3293,0.0864,0.3793,0.2099,0.0795,0.35,False,0.0,0.7962,0.879
camera,is_turn_right,ego_maneuver,60,628,8,45,52,523,0.1509,0.0785,0.2705,0.0462,0.2931,0.1333,0.0691,0.2417,0.0455,0.2237,0.1416,0.047,0.24,False,0.0,0.8455,0.9045
camera,is_u_turn,ego_maneuver,36,628,0,0,36,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964,0.0,0.0,0.0,0.0,0.0,True,0.0,0.9427,0.9427
camera,is_cruising,ego_maneuver,236,628,185,279,51,113,0.3987,0.3552,0.4439,0.3205,0.4797,0.7839,0.7271,0.8316,0.696,0.8599,0.5286,0.4481,0.6056,False,0.0,0.4745,0.6242
camera,is_stationary,ego_maneuver,154,628,2,0,152,474,1.0,0.3424,1.0,0.0,1.0,0.013,0.0036,0.0461,0.0,0.0359,0.0256,0.0,0.0694,False,0.0,0.758,0.7548
camera,is_accelerating,ego_maneuver,119,628,0,0,119,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8105,0.8105
camera,is_decelerating,ego_maneuver,119,628,0,10,119,499,0.0,0.0,0.2775,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,True,0.0,0.7946,0.8105
camera,lane_change,ego_maneuver,96,628,0,53,96,479,0.0,0.0,0.0676,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,True,0.0,0.7627,0.8471
camera,on_drivable_area,map_context,628,628,628,0,0,0,1.0,0.9939,1.0,1.0,1.0,1.0,0.9939,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0
camera,at_intersection,map_context,216,628,73,132,143,280,0.3561,0.2937,0.4237,0.2246,0.5001,0.338,0.2782,0.4034,0.2217,0.4619,0.3468,0.2293,0.4615,False,0.0,0.5621,0.6561
camera,on_lane,map_context,412,628,407,206,5,10,0.6639,0.6256,0.7002,0.5989,0.7255,0.9879,0.9719,0.9948,0.9747,0.9976,0.7941,0.7461,0.8366,False,0.7923,0.664,0.6561
camera,on_ped_crossing,map_context,118,628,0,0,118,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8121,0.8121
camera,on_stop_line,map_context,166,628,1,1,165,461,0.5,0.0945,0.9055,0.0,1.0,0.006,0.0011,0.0333,0.0,0.0203,0.0119,0.0,0.0397,False,0.0,0.7357,0.7357
