average,condition,reference,macro_a,macro_b,delta,delta_lo,delta_hi,p,p_holm,significant_05,n_clusters,n_draws,ci_width_scene,ci_width_frame,width_ratio
macro,cot,camera,0.3893,0.4484,0.0591,0.0432,0.0745,0.001,0.005,True,139,2000,0.0341,0.0181,1.8834
macro,bev_pic,camera,0.3893,0.2717,-0.1176,-0.1356,-0.0983,0.001,0.005,True,139,2000,0.0341,0.0181,1.8834
macro,bev_txt,camera,0.3893,0.2441,-0.1452,-0.1593,-0.1271,0.001,0.005,True,139,2000,0.0341,0.0181,1.8834
macro,both,camera,0.3893,0.3753,-0.0141,-0.0224,-0.0048,0.004,0.005,True,139,2000,0.0341,0.0181,1.8834
macro,temporal,camera,0.3893,0.3634,-0.0259,-0.0395,-0.0132,0.001,0.005,True,139,2000,0.0341,0.0181,1.8834
micro,cot,camera,0.6065,0.6391,0.0326,0.0204,0.045,0.001,0.005,True,139,2000,0.0341,0.0181,1.8834
micro,bev_pic,camera,0.6065,0.5012,-0.1054,-0.1221,-0.0892,0.001,0.005,True,139,2000,0.0341,0.0181,1.8834
micro,bev_txt,camera,0.6065,0.5022,-0.1044,-0.119,-0.0896,0.001,0.005,True,139,2000,0.0341,0.0181,1.8834
micro,both,camera,0.6065,0.6104,0.0039,-0.0037,0.0115,0.3248,0.6497,False,139,2000,0.0341,0.0181,1.8834
micro,temporal,camera,0.6065,0.6107,0.0041,-0.0074,0.0159,0.5287,0.6497,False,139,2000,0.0341,0.0181,1.8834
