condition,tag,family,prevalence,f1,baseline_f1_majority,baseline_f1_always_yes,mcc,balanced_accuracy
camera,is_going_straight,ego_maneuver,0.726,0.7761,0.8413,0.841,0.163,0.58
camera,is_turn_left,ego_maneuver,0.121,0.2099,0.0,0.216,0.094,0.549
camera,is_turn_right,ego_maneuver,0.096,0.1416,0.0,0.174,0.057,0.527
camera,is_u_turn,ego_maneuver,0.057,0.0,0.0,0.108,0.0,0.5
camera,is_cruising,ego_maneuver,0.376,0.5286,0.0,0.546,0.08,0.536
camera,is_stationary,ego_maneuver,0.245,0.0256,0.0,0.394,0.099,0.506
camera,is_accelerating,ego_maneuver,0.189,0.0,0.0,0.319,0.0,0.5
camera,is_decelerating,ego_maneuver,0.189,0.0,0.0,0.319,-0.062,0.49
camera,lane_change,ego_maneuver,0.153,0.0,0.0,0.265,-0.129,0.45
camera,on_drivable_area,map_context,1.0,1.0,1.0,1.0,0.0,0.5
camera,at_intersection,map_context,0.344,0.3468,0.0,0.512,0.018,0.509
camera,on_lane,map_context,0.656,0.7941,0.7923,0.792,0.106,0.517
camera,on_ped_crossing,map_context,0.188,0.0,0.0,0.316,0.0,0.5
camera,on_stop_line,map_context,0.264,0.0119,0.0,0.418,0.03,0.502
camera,ped_crossing_ahead,map_context,0.54,0.0403,0.7011,0.701,0.076,0.509
camera,stop_line_ahead,map_context,0.75,0.0126,0.8571,0.857,-0.031,0.497
camera,intersection_ahead,map_context,0.861,0.5335,0.9256,0.926,0.22,0.649
camera,traffic_light_ahead,map_context,0.229,0.6719,0.0,0.373,0.576,0.832
camera,has_pedestrian,visible_objects,0.602,0.5974,0.7515,0.751,0.478,0.713
camera,has_vehicle,visible_objects,0.93,0.9694,0.9637,0.964,0.673,0.907
camera,parked_vehicle,visible_objects,0.576,0.6101,0.7313,0.731,0.408,0.69
camera,moving_vehicle,visible_objects,0.705,0.8854,0.8273,0.827,0.616,0.81
camera,stopped_vehicle,visible_objects,0.409,0.2517,0.0,0.581,-0.134,0.439
camera,large_vehicle,visible_objects,0.646,0.6198,0.7853,0.785,0.445,0.714
camera,cyclist,visible_objects,0.174,0.3609,0.0,0.296,0.435,0.61
camera,parked_bicycle,visible_objects,0.108,0.2078,0.0,0.195,0.303,0.558
camera,construction_object,visible_objects,0.323,0.6536,0.0,0.489,0.613,0.743
