tolerance_kf,method,precision,recall,f1,f1_sd,n_predicted,n_gold,gold_density_per_kf,chance_f1_closed_form
0,g1_panels,0.513,0.3809,0.4372,0.0,2501,3368,0.0986,0.0986
0,fixed_matched_k,0.16,0.16,0.16,0.0,3368,3368,0.0986,0.0986
0,fixed_period_2s,0.1058,0.2402,0.1469,0.0,7648,3368,0.0986,0.0986
0,random_matched_k,0.1531,0.1531,0.1531,0.0057,3368,3368,0.0986,0.0986
1,g1_panels,0.968,0.8157,0.8854,0.0,2501,3368,0.0986,0.2959
1,fixed_matched_k,0.4017,0.4338,0.4171,0.0,3368,3368,0.0986,0.2959
1,fixed_period_2s,0.2739,0.6914,0.3924,0.0,7648,3368,0.0986,0.2959
1,random_matched_k,0.3812,0.3835,0.3823,0.0071,3368,3368,0.0986,0.2959
2,g1_panels,0.9712,0.8937,0.9308,0.0,2501,3368,0.0986,0.4931
2,fixed_matched_k,0.5825,0.693,0.633,0.0,3368,3368,0.0986,0.4931
2,fixed_period_2s,0.4021,0.9768,0.5697,0.0,7648,3368,0.0986,0.4931
2,random_matched_k,0.5475,0.5499,0.5487,0.0068,3368,3368,0.0986,0.4931
3,g1_panels,0.9752,0.9176,0.9455,0.0,2501,3368,0.0986,0.6904
3,fixed_matched_k,0.6983,0.8276,0.7575,0.0,3368,3368,0.0986,0.6904
3,fixed_period_2s,0.5014,1.0,0.6679,0.0,7648,3368,0.0986,0.6904
3,random_matched_k,0.6634,0.6667,0.665,0.0061,3368,3368,0.0986,0.6904
