tolerance_kf,method,precision,recall,f1,f1_sd,f1_lo,f1_hi,n_predicted,n_gold,n_scenes,answer_coverage,parse_failure_rate,chance_f1_closed_form
0,vlm_pairwise,0.0,0.0,0.0,,,,1,98,25,1.0,0.0,0.0979
0,fixed_matched_k,0.1735,0.1735,0.1735,,,,98,98,25,1.0,0.0,0.0979
0,random_matched_gold,,,0.1614,0.0317,0.102,0.2347,98,98,25,1.0,0.0,0.0979
0,random_matched_vlm,,,0.0015,0.0053,0.0,0.0202,1,98,25,1.0,0.0,0.0979
1,vlm_pairwise,1.0,0.0102,0.0202,,,,1,98,25,1.0,0.0,0.2937
1,fixed_matched_k,0.4796,0.5109,0.4947,,,,98,98,25,1.0,0.0,0.2937
1,random_matched_gold,,,0.4071,0.0419,0.3282,0.4824,98,98,25,1.0,0.0,0.2937
1,random_matched_vlm,,,0.0028,0.007,0.0,0.0204,1,98,25,1.0,0.0,0.2937
2,vlm_pairwise,1.0,0.0103,0.0204,,,,1,98,25,1.0,0.0,0.4895
2,fixed_matched_k,0.5816,0.6867,0.6298,,,,98,98,25,1.0,0.0,0.4895
2,random_matched_gold,,,0.5785,0.0424,0.4925,0.6634,98,98,25,1.0,0.0,0.4895
2,random_matched_vlm,,,0.0057,0.0091,0.0,0.0204,1,98,25,1.0,0.0,0.4895
3,vlm_pairwise,1.0,0.0103,0.0204,,,,1,98,25,1.0,0.0,0.6853
3,fixed_matched_k,0.6837,0.8375,0.7528,,,,98,98,25,1.0,0.0,0.6853
3,random_matched_gold,,,0.6995,0.0371,0.6217,0.7702,98,98,25,1.0,0.0,0.6853
3,random_matched_vlm,,,0.0081,0.0099,0.0,0.0204,1,98,25,1.0,0.0,0.6853
