view,n_images,tag,precision,recall,f1,tp,fp,fn,support,prevalence,model_true_rate,baseline_f1,beats_baseline,precision_lo,precision_hi,recall_lo,recall_hi
uniform_450,450,traffic_light_present,0.8966,0.9286,0.9123,234,27,18,252,0.56,0.58,0.7179,True,0.8537,0.9279,0.8899,0.9543
uniform_450,450,traffic_sign_present,0.8977,0.8778,0.8876,316,36,44,360,0.8,0.7822,0.8889,False,0.8617,0.9252,0.8399,0.9077
uniform_450,450,red_light_visible,0.5333,0.7619,0.6275,96,84,30,126,0.28,0.4,0.0,True,0.4605,0.6048,0.6805,0.8278
uniform_450,450,yellow_light_visible,0.1028,0.7857,0.1818,11,96,3,14,0.0311,0.2378,0.0,True,0.0584,0.1748,0.5241,0.9243
uniform_450,450,green_light_visible,0.8824,0.8919,0.8871,165,22,20,185,0.4111,0.4156,0.0,True,0.8283,0.921,0.8389,0.9289
all_586,586,traffic_light_present,0.9315,0.9459,0.9386,367,27,21,388,0.6621,0.6724,0.7967,True,0.9021,0.9525,0.9187,0.9643
all_586,586,traffic_sign_present,0.9089,0.8996,0.9042,439,44,49,488,0.8328,0.8242,0.9088,False,0.8799,0.9314,0.8697,0.9232
all_586,586,red_light_visible,0.5922,0.8029,0.6816,167,115,41,208,0.3549,0.4812,0.0,True,0.534,0.6479,0.7435,0.8512
all_586,586,yellow_light_visible,0.4866,0.6067,0.5401,91,96,59,150,0.256,0.3191,0.0,True,0.416,0.5578,0.5268,0.6812
all_586,586,green_light_visible,0.8638,0.874,0.8689,222,35,32,254,0.4334,0.4386,0.0,True,0.8165,0.9004,0.8276,0.9093
state_gt_certain_381,381,traffic_light_present,0.8622,0.9235,0.8918,169,27,14,183,0.4803,0.5144,0.0,True,0.807,0.9036,0.8757,0.9539
state_gt_certain_381,381,traffic_sign_present,0.8811,0.8542,0.8675,252,34,43,295,0.7743,0.7507,0.8728,False,0.8385,0.9137,0.8094,0.89
state_gt_certain_381,381,red_light_visible,0.5195,0.7843,0.625,80,74,22,102,0.2677,0.4042,0.0,True,0.4411,0.597,0.695,0.853
state_gt_certain_381,381,yellow_light_visible,0.4167,0.4918,0.4511,30,42,31,61,0.1601,0.189,0.0,True,0.3099,0.5319,0.3706,0.614
state_gt_certain_381,381,green_light_visible,0.8788,0.8855,0.8821,116,16,15,131,0.3438,0.3465,0.0,True,0.8122,0.924,0.8197,0.9294
